Country_new,country_old,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
China,China,1440297825,0.39 %,5540090,153,9388211,-348399.0,01.Jul,38,61%,18.47 %
India,India,1382345085,0.99 %,13586631,464,2973190,-532687.0,02.Feb,28,35%,17.70 %
United_States,United States,331341050,0.59 %,1937734,36,9147420,954806.0,01.Aug,38,83%,4.25 %
Indonesia,Indonesia,274021604,1.07 %,2898047,151,1811570,-98955.0,02.Mar,30,56%,3.51 %
Pakistan,Pakistan,221612785,2.00 %,4327022,287,770880,-233379.0,03.Jun,23,35%,2.83 %
Brazil,Brazil,212821986,0.72 %,1509890,25,8358140,21200.0,01.Jul,33,88%,2.73 %
Nigeria,Nigeria,206984347,2.58 %,5175990,226,910770,-60000.0,05.Apr,18,52%,2.64 %
Bangladesh,Bangladesh,164972348,1.01 %,1643222,1265,130170,-369501.0,02.Jan,28,39%,2.11 %
Russia,Russia,145945524,0.04 %,62206,9,16376870,182456.0,01.Aug,40,74%,1.87 %
Mexico,Mexico,129166028,1.06 %,1357224,66,1943950,-60000.0,02.Jan,29,84%,1.65 %
Japan,Japan,126407422,-0.30 %,-383840,347,364555,71560.0,01.Apr,48,92%,1.62 %
Ethiopia,Ethiopia,115434444,2.57 %,2884858,115,1000000,30000.0,04.Mar,19,21%,1.47 %
Philippines,Philippines,109830324,1.35 %,1464463,368,298170,-67152.0,02.Jun,26,47%,1.41 %
Egypt,Egypt,102659126,1.94 %,1946331,103,995450,-38033.0,03.Mar,25,43%,1.31 %
Vietnam,Vietnam,97490013,0.91 %,876473,314,310070,-80000.0,02.Jan,32,38%,1.25 %
DR_Congo,DR Congo,90003954,3.19 %,2770836,40,2267050,23861.0,6.0,17,46%,1.15 %
Turkey,Turkey,84495243,1.09 %,909452,110,769630,283922.0,02.Jan,32,76%,1.08 %
Iran,Iran,84176929,1.30 %,1079043,52,1628550,-55000.0,02.Feb,32,76%,1.08 %
Germany,Germany,83830972,0.32 %,266897,240,348560,543822.0,01.Jun,46,76%,1.07 %
Thailand,Thailand,69830779,0.25 %,174396,137,510890,19444.0,01.May,40,51%,0.90 %
United_Kingdom,United Kingdom,67948282,0.53 %,355839,281,241930,260650.0,01.Aug,40,83%,0.87 %
France,France,65298930,0.22 %,143783,119,547557,36527.0,01.Sep,42,82%,0.84 %
Italy,Italy,60446035,-0.15 %,-88249,206,294140,148943.0,01.Mar,47,69%,0.78 %
Tanzania,Tanzania,60012400,2.98 %,1728755,67,885800,-40076.0,04.Sep,18,37%,0.77 %
South_Africa,South Africa,59436725,1.28 %,750420,49,1213090,145405.0,02.Apr,28,67%,0.76 %
Myanmar,Myanmar,54473253,0.67 %,364380,83,653290,-163313.0,02.Feb,29,31%,0.70 %
Kenya,Kenya,53968739,2.28 %,1197323,94,569140,-10000.0,03.May,20,28%,0.69 %
South_Korea,South Korea,51276977,0.09 %,43877,527,97230,11731.0,01.Jan,44,82%,0.66 %
Colombia,Colombia,50976248,1.08 %,543448,46,1109500,204796.0,01.Aug,31,80%,0.65 %
Spain,Spain,46757980,0.04 %,18002,94,498800,40000.0,01.Mar,45,80%,0.60 %
Uganda,Uganda,45974931,3.32 %,1471413,229,199810,168694.0,5.0,17,26%,0.59 %
Argentina,Argentina,45267449,0.93 %,415097,17,2736690,4800.0,02.Mar,32,93%,0.58 %
Algeria,Algeria,43984569,1.85 %,797990,18,2381740,-10000.0,03.Jan,29,73%,0.56 %
Sudan,Sudan,44019263,2.42 %,1036022,25,1765048,-50000.0,04.Apr,20,35%,0.56 %
Ukraine,Ukraine,43686577,-0.59 %,-259876,75,579320,10000.0,01.Apr,41,69%,0.56 %
Iraq,Iraq,40372771,2.32 %,912710,93,434320,7834.0,03.Jul,21,73%,0.52 %
Afghanistan,Afghanistan,39074280,2.33 %,886592,60,652860,-62920.0,04.Jun,18,25%,0.50 %
Poland,Poland,37839255,-0.11 %,-41157,124,306230,-29395.0,01.Apr,42,60%,0.49 %
Canada,Canada,37799407,0.89 %,331107,4,9093510,242032.0,01.May,41,81%,0.48 %
Morocco,Morocco,36985624,1.20 %,438791,83,446300,-51419.0,02.Apr,30,64%,0.47 %
Saudi_Arabia,Saudi Arabia,34905942,1.59 %,545343,16,2149690,134979.0,02.Mar,32,84%,0.45 %
Uzbekistan,Uzbekistan,33551824,1.48 %,487487,79,425400,-8863.0,02.Apr,28,50%,0.43 %
Peru,Peru,33050211,1.42 %,461401,26,1280000,99069.0,02.Mar,31,79%,0.42 %
Angola,Angola,33032075,3.27 %,1040977,26,1246700,6413.0,05.Jun,17,67%,0.42 %
Malaysia,Malaysia,32436963,1.30 %,416222,99,328550,50000.0,2.0,30,78%,0.42 %
Mozambique,Mozambique,31398811,2.93 %,889399,40,786380,-5000.0,04.Sep,18,38%,0.40 %
Ghana,Ghana,31181428,2.15 %,655084,137,227540,-10000.0,03.Sep,22,57%,0.40 %
Yemen,Yemen,29935468,2.28 %,664042,56,527970,-30000.0,03.Aug,20,38%,0.38 %
Nepal,Nepal,29225196,1.85 %,528098,203,143350,41710.0,01.Sep,25,21%,0.37 %
Venezuela,Venezuela,28421581,-0.28 %,-79889,32,882050,-653249.0,02.Mar,30,N.A.,0.36 %
Madagascar,Madagascar,27808395,2.68 %,721711,48,581795,-1500.0,04.Jan,20,39%,0.36 %
Cameroon,Cameroon,26655083,2.59 %,669483,56,472710,-4800.0,04.Jun,19,56%,0.34 %
Côte_d'Ivoire,Côte d'Ivoire,26486282,2.57 %,661730,83,318000,-8000.0,04.Jul,19,51%,0.34 %
North_Korea,North Korea,25798588,0.44 %,112655,214,120410,-5403.0,01.Sep,35,63%,0.33 %
Australia,Australia,25550683,1.18 %,296686,3,7682300,158246.0,01.Aug,38,86%,0.33 %
Niger,Niger,24346468,3.84 %,895929,19,1266700,4000.0,7.0,15,17%,0.31 %
Taiwan,Taiwan,23824369,0.18 %,42899,673,35410,30001.0,01.Feb,42,79%,0.31 %
Sri_Lanka,Sri Lanka,21428970,0.42 %,89516,341,62710,-97986.0,02.Feb,34,18%,0.27 %
Burkina_Faso,Burkina Faso,20997293,2.86 %,581895,76,273600,-25000.0,05.Feb,18,31%,0.27 %
Mali,Mali,20346106,3.02 %,592802,17,1220190,-40000.0,05.Sep,16,44%,0.26 %
Romania,Romania,19214608,-0.66 %,-126866,84,230170,-73999.0,01.Jun,43,55%,0.25 %
Malawi,Malawi,19211425,2.69 %,501205,203,94280,-16053.0,04.Mar,18,18%,0.25 %
Chile,Chile,19144605,0.87 %,164163,26,743532,111708.0,01.Jul,35,85%,0.25 %
Kazakhstan,Kazakhstan,18815231,1.21 %,225280,7,2699700,-18000.0,02.Aug,31,58%,0.24 %
Zambia,Zambia,18468257,2.93 %,522925,25,743390,-8000.0,04.Jul,18,45%,0.24 %
Guatemala,Guatemala,17971382,1.90 %,334096,167,107160,-9215.0,02.Sep,23,52%,0.23 %
Ecuador,Ecuador,17688599,1.55 %,269392,71,248360,36400.0,02.Apr,28,63%,0.23 %
Syria,Syria,17571053,2.52 %,430523,95,183630,-427391.0,02.Aug,26,60%,0.22 %
Netherlands,Netherlands,17141544,0.22 %,37742,508,33720,16000.0,01.Jul,43,92%,0.22 %
Senegal,Senegal,16816539,2.75 %,447563,87,192530,-20000.0,04.Jul,19,49%,0.21 %
Cambodia,Cambodia,16758448,1.41 %,232423,95,176520,-30000.0,02.May,26,24%,0.21 %
Chad,Chad,16502877,3.00 %,478988,13,1259200,2000.0,05.Aug,17,23%,0.21 %
Somalia,Somalia,15965848,2.92 %,450317,25,627340,-40000.0,06.Jan,17,47%,0.20 %
Zimbabwe,Zimbabwe,14899771,1.48 %,217456,38,386850,-116858.0,03.Jun,19,38%,0.19 %
Guinea,Guinea,13191279,2.83 %,361549,53,245720,-4000.0,04.Jul,18,39%,0.17 %
Rwanda,Rwanda,13005303,2.58 %,325268,525,24670,-9000.0,04.Jan,20,18%,0.17 %
Benin,Benin,12175480,2.73 %,322049,108,112760,-2000.0,04.Sep,19,48%,0.16 %
Burundi,Burundi,11948454,3.12 %,360204,463,25680,2001.0,05.May,17,14%,0.15 %
Tunisia,Tunisia,11839918,1.06 %,123900,76,155360,-4000.0,02.Feb,33,70%,0.15 %
Bolivia,Bolivia,11700207,1.39 %,159921,11,1083300,-9504.0,02.Aug,26,69%,0.15 %
Belgium,Belgium,11598451,0.44 %,50295,383,30280,48000.0,01.Jul,42,98%,0.15 %
Haiti,Haiti,11426356,1.24 %,139451,414,27560,-35000.0,3.0,24,57%,0.15 %
Cuba,Cuba,11325391,-0.06 %,-6867,106,106440,-14400.0,01.Jun,42,78%,0.15 %
South_Sudan,South Sudan,11216250,1.19 %,131612,18,610952,-174200.0,04.Jul,19,25%,0.14 %
Dominican_Republic,Dominican Republic,10866667,1.01 %,108952,225,48320,-30000.0,02.Apr,28,85%,0.14 %
Czechia,Czech Republic (Czechia),10712481,0.18 %,19772,139,77240,22011.0,01.Jun,43,74%,0.14 %
Greece,Greece,10413936,-0.48 %,-50401,81,128900,-16000.0,01.Mar,46,85%,0.13 %
Jordan,Jordan,10220604,1.00 %,101440,115,88780,10220.0,02.Aug,24,91%,0.13 %
Portugal,Portugal,10191409,-0.29 %,-29478,111,91590,-6000.0,01.Mar,46,66%,0.13 %
Azerbaijan,Azerbaijan,10154978,0.91 %,91459,123,82658,1200.0,02.Jan,32,56%,0.13 %
Sweden,Sweden,10110233,0.63 %,62886,25,410340,40000.0,01.Sep,41,88%,0.13 %
Honduras,Honduras,9931333,1.63 %,158490,89,111890,-6800.0,02.May,24,57%,0.13 %
United_Arab_Emirates,United Arab Emirates,9910892,1.23 %,119873,118,83600,40000.0,01.Apr,33,86%,0.13 %
Hungary,Hungary,9655983,-0.25 %,-24328,107,90530,6000.0,01.May,43,72%,0.12 %
Tajikistan,Tajikistan,9573310,2.32 %,216627,68,139960,-20000.0,03.Jun,22,27%,0.12 %
Belarus,Belarus,9448772,-0.03 %,-3088,47,202910,8730.0,01.Jul,40,79%,0.12 %
Austria,Austria,9015361,0.57 %,51296,109,82409,65000.0,01.May,43,57%,0.12 %
Papua_New_Guinea,Papua New Guinea,8975531,1.95 %,170915,20,452860,-800.0,03.Jun,22,13%,0.11 %
Serbia,Serbia,8731081,-0.40 %,-34864,100,87460,4000.0,01.May,42,56%,0.11 %
Israel,Israel,8678517,1.60 %,136158,400,21640,10000.0,3.0,30,93%,0.11 %
Switzerland,Switzerland,8665615,0.74 %,63257,219,39516,52000.0,01.May,43,74%,0.11 %
Togo,Togo,8310934,2.43 %,196358,152,54390,-2000.0,04.Apr,19,43%,0.11 %
Sierra_Leone,Sierra Leone,8004158,2.10 %,163768,111,72180,-4200.0,04.Mar,19,43%,0.10 %
Hong_Kong,Hong Kong,7507523,0.82 %,60827,7140,1050,29308.0,01.Mar,45,N.A.,0.10 %
Laos,Laos,7293542,1.48 %,106105,32,230800,-14704.0,02.Jul,24,36%,0.09 %
Paraguay,Paraguay,7147553,1.25 %,87902,18,397300,-16556.0,02.Apr,26,62%,0.09 %
Bulgaria,Bulgaria,6939018,-0.74 %,-51674,64,108560,-4800.0,01.Jun,45,76%,0.09 %
Libya,Libya,6887247,1.38 %,93840,4,1759540,-1999.0,02.Mar,29,78%,0.09 %
Lebanon,Lebanon,6819976,-0.44 %,-30268,667,10230,-30012.0,02.Jan,30,78%,0.09 %
Nicaragua,Nicaragua,6638075,1.21 %,79052,55,120340,-21272.0,02.Apr,26,57%,0.08 %
Kyrgyzstan,Kyrgyzstan,6542426,1.69 %,108345,34,191800,-4000.0,3.0,26,36%,0.08 %
El_Salvador,El Salvador,6491923,0.51 %,32652,313,20720,-40539.0,02.Jan,28,73%,0.08 %
Turkmenistan,Turkmenistan,6046292,1.50 %,89111,13,469930,-5000.0,02.Aug,27,53%,0.08 %
Singapore,Singapore,5858322,0.79 %,46005,8358,700,27028.0,01.Feb,42,N.A.,0.08 %
Denmark,Denmark,5795780,0.35 %,20326,137,42430,15200.0,01.Aug,42,88%,0.07 %
Finland,Finland,5542237,0.15 %,8564,18,303890,14000.0,01.May,43,86%,0.07 %
Congo,Congo,5540555,2.56 %,137579,16,341500,-4000.0,04.May,19,70%,0.07 %
Slovakia,Slovakia,5460109,0.05 %,2629,114,48088,1485.0,01.May,41,54%,0.07 %
Norway,Norway,5428594,0.79 %,42384,15,365268,28000.0,01.Jul,40,83%,0.07 %
Oman,Oman,5128058,2.65 %,131640,16,309500,87400.0,02.Sep,31,87%,0.07 %
State_of_Palestine,State of Palestine,5121112,2.41 %,119994,847,6020,-10563.0,03.Jul,21,80%,0.07 %
Costa_Rica,Costa Rica,5102158,0.92 %,46557,100,51060,4200.0,01.Aug,33,80%,0.07 %
Liberia,Liberia,5077411,2.44 %,120307,53,96320,-5000.0,04.Apr,19,53%,0.06 %
Ireland,Ireland,4947267,1.13 %,55291,72,68890,23604.0,01.Aug,38,63%,0.06 %
Central_African_Republic,Central African Republic,4843954,1.78 %,84582,8,622980,-40000.0,04.Aug,18,43%,0.06 %
New_Zealand,New Zealand,4829021,0.82 %,39170,18,263310,14881.0,01.Sep,38,87%,0.06 %
Mauritania,Mauritania,4669775,2.74 %,123962,5,1030700,5000.0,04.Jun,20,57%,0.06 %
Panama,Panama,4326296,1.61 %,68328,58,74340,11200.0,02.May,30,68%,0.06 %
Kuwait,Kuwait,4281320,1.51 %,63488,240,17820,39520.0,02.Jan,37,N.A.,0.05 %
Croatia,Croatia,4100719,-0.61 %,-25037,73,55960,-8001.0,01.Apr,44,58%,0.05 %
Moldova,Moldova,4032294,-0.23 %,-9300,123,32850,-1387.0,01.Mar,38,43%,0.05 %
Georgia,Georgia,3987805,-0.19 %,-7598,57,69490,-10000.0,02.Jan,38,58%,0.05 %
Eritrea,Eritrea,3554797,1.41 %,49304,35,101000,-39858.0,04.Jan,19,63%,0.05 %
Uruguay,Uruguay,3475842,0.35 %,11996,20,175020,-3000.0,2.0,36,96%,0.04 %
Bosnia_and_Herzegovina,Bosnia and Herzegovina,3277152,-0.61 %,-20181,64,51000,-21585.0,01.Mar,43,52%,0.04 %
Mongolia,Mongolia,3287242,1.65 %,53123,2,1553560,-852.0,02.Sep,28,67%,0.04 %
Armenia,Armenia,2964219,0.19 %,5512,104,28470,-4998.0,01.Aug,35,63%,0.04 %
Jamaica,Jamaica,2963429,0.44 %,12888,273,10830,-11332.0,2.0,31,55%,0.04 %
Qatar,Qatar,2889284,1.73 %,48986,248,11610,40000.0,01.Sep,32,96%,0.04 %
Albania,Albania,2877239,-0.11 %,-3120,105,27400,-14000.0,01.Jun,36,63%,0.04 %
Puerto_Rico,Puerto Rico,2846860,-2.47 %,-72555,323,8870,-97986.0,01.Feb,44,N.A.,0.04 %
Lithuania,Lithuania,2715340,-1.35 %,-37338,43,62674,-32780.0,01.Jul,45,71%,0.03 %
Namibia,Namibia,2548663,1.86 %,46375,3,823290,-4806.0,03.Apr,22,55%,0.03 %
Gambia,Gambia,2427782,2.94 %,68962,239,10120,-3087.0,05.Mar,18,59%,0.03 %
Botswana,Botswana,2359585,2.08 %,47930,4,566730,3000.0,02.Sep,24,73%,0.03 %
Gabon,Gabon,2234448,2.45 %,53155,9,257670,3260.0,4.0,23,87%,0.03 %
Lesotho,Lesotho,2145194,0.80 %,16981,71,30360,-10047.0,03.Feb,24,31%,0.03 %
North_Macedonia,North Macedonia,2083359,0.00 %,-85,83,25220,-1000.0,01.May,39,59%,0.03 %
Slovenia,Slovenia,2078989,0.01 %,284,103,20140,2000.0,01.Jun,45,55%,0.03 %
Guinea-Bissau,Guinea-Bissau,1975718,2.45 %,47079,70,28120,-1399.0,04.May,19,45%,0.03 %
Latvia,Latvia,1882408,-1.08 %,-20545,30,62200,-14837.0,01.Jul,44,69%,0.02 %
Bahrain,Bahrain,1711057,3.68 %,60403,2239,760,47800.0,2.0,32,89%,0.02 %
Equatorial_Guinea,Equatorial Guinea,1410419,3.47 %,46999,50,28050,16000.0,04.Jun,22,73%,0.02 %
Trinidad_and_Tobago,Trinidad and Tobago,1400283,0.32 %,4515,273,5130,-800.0,01.Jul,36,52%,0.02 %
Estonia,Estonia,1326693,0.07 %,887,31,42390,3911.0,01.Jun,42,68%,0.02 %
Timor-Leste,Timor-Leste,1322667,1.96 %,25326,89,14870,-5385.0,04.Jan,21,33%,0.02 %
Mauritius,Mauritius,1272140,0.17 %,2100,626,2030,0.0,01.Apr,37,41%,0.02 %
Cyprus,Cyprus,1208886,0.73 %,8784,131,9240,5000.0,01.Mar,37,67%,0.02 %
Eswatini,Eswatini,1162233,1.05 %,12034,67,17200,-8353.0,3.0,21,30%,0.01 %
Djibouti,Djibouti,990447,1.48 %,14440,43,23180,900.0,02.Aug,27,79%,0.01 %
Fiji,Fiji,897573,0.73 %,6492,49,18270,-6202.0,02.Aug,28,59%,0.01 %
Réunion,Réunion,896422,0.72 %,6385,358,2500,-1256.0,02.Mar,36,100%,0.01 %
Comoros,Comoros,872695,2.20 %,18715,467,1861,-2000.0,04.Feb,20,29%,0.01 %
Guyana,Guyana,787215,0.48 %,3786,4,196850,-6000.0,02.May,27,27%,0.01 %
Bhutan,Bhutan,773069,1.12 %,8516,20,38117,320.0,2.0,28,46%,0.01 %
Solomon_Islands,Solomon Islands,689671,2.55 %,17061,25,27990,-1600.0,04.Apr,20,23%,0.01 %
Macao,Macao,650846,1.39 %,8890,21645,30,5000.0,01.Feb,39,N.A.,0.01 %
Montenegro,Montenegro,628080,0.01 %,79,47,13450,-480.0,01.Aug,39,68%,0.01 %
Luxembourg,Luxembourg,627704,1.66 %,10249,242,2590,9741.0,01.May,40,88%,0.01 %
Western_Sahara,Western Sahara,599769,2.55 %,14876,2,266000,5582.0,02.Apr,28,87%,0.01 %
Suriname,Suriname,587541,0.90 %,5260,4,156000,-1000.0,02.Apr,29,65%,0.01 %
Cabo_Verde,Cabo Verde,557026,1.10 %,6052,138,4030,-1342.0,02.Mar,28,68%,0.01 %
Maldives,Maldives,542151,1.81 %,9591,1802,300,11370.0,01.Sep,30,35%,0.01 %
Malta,Malta,441750,0.27 %,1171,1380,320,900.0,01.May,43,93%,0.01 %
Brunei,Brunei,438202,0.97 %,4194,83,5270,0.0,01.Aug,32,80%,0.01 %
Guadeloupe,Guadeloupe,400136,0.02 %,68,237,1690,-1440.0,02.Feb,44,N.A.,0.01 %
Belize,Belize,398845,1.86 %,7275,17,22810,1200.0,02.Mar,25,46%,0.01 %
Bahamas,Bahamas,393893,0.97 %,3762,39,10010,1000.0,01.Aug,32,86%,0.01 %
Martinique,Martinique,375213,-0.08 %,-289,354,1060,-960.0,01.Sep,47,92%,0.00 %
Iceland,Iceland,341628,0.65 %,2212,3,100250,380.0,01.Aug,37,94%,0.00 %
Vanuatu,Vanuatu,308337,2.42 %,7263,25,12190,120.0,03.Aug,21,24%,0.00 %
French_Guiana,French Guiana,299958,2.70 %,7850,4,82200,1200.0,03.Apr,25,87%,0.00 %
Barbados,Barbados,287437,0.12 %,350,668,430,-79.0,01.Jun,40,31%,0.00 %
New_Caledonia,New Caledonia,285972,0.97 %,2748,16,18280,502.0,2.0,34,72%,0.00 %
French_Polynesia,French Polynesia,281191,0.58 %,1621,77,3660,-1000.0,2.0,34,64%,0.00 %
Mayotte,Mayotte,273905,2.50 %,6665,728,375,0.0,03.Jul,20,46%,0.00 %
Sao_Tome_&_Principe,Sao Tome & Principe,219844,1.91 %,4103,228,960,-1680.0,04.Apr,19,74%,0.00 %
Samoa,Samoa,198643,0.67 %,1317,70,2830,-2803.0,03.Sep,22,18%,0.00 %
Saint_Lucia,Saint Lucia,183774,0.46 %,837,301,610,0.0,01.Apr,34,19%,0.00 %
Channel_Islands,Channel Islands,174140,0.93 %,1604,915,190,1351.0,01.May,43,30%,0.00 %
Guam,Guam,169031,0.89 %,1481,313,540,-506.0,02.Mar,31,95%,0.00 %
Curaçao,Curaçao,164211,0.41 %,669,370,444,515.0,01.Aug,42,89%,0.00 %
Kiribati,Kiribati,119760,1.57 %,1843,147,810,-800.0,03.Jun,23,57%,0.00 %
Micronesia,Micronesia,115231,1.06 %,1208,164,700,-600.0,03.Jan,24,21%,0.00 %
Grenada,Grenada,112614,0.46 %,520,331,340,-200.0,02.Jan,32,35%,0.00 %
St._Vincent_&_Grenadines,St. Vincent & Grenadines,111002,0.32 %,351,284,390,-200.0,01.Sep,33,53%,0.00 %
Aruba,Aruba,106845,0.43 %,452,593,180,201.0,01.Sep,41,44%,0.00 %
Tonga,Tonga,105901,1.15 %,1201,147,720,-800.0,03.Jun,22,24%,0.00 %
U.S._Virgin_Islands,U.S. Virgin Islands,104398,-0.15 %,-153,298,350,-451.0,2.0,43,96%,0.00 %
Seychelles,Seychelles,98453,0.62 %,608,214,460,-200.0,02.May,34,56%,0.00 %
Antigua_and_Barbuda,Antigua and Barbuda,98069,0.84 %,811,223,440,0.0,2.0,34,26%,0.00 %
Isle_of_Man,Isle of Man,85112,0.53 %,449,149,570,,N.A.,N.A.,53%,0.00 %
Andorra,Andorra,77287,0.16 %,123,164,470,,N.A.,N.A.,88%,0.00 %
Dominica,Dominica,72017,0.25 %,178,96,750,,N.A.,N.A.,74%,0.00 %
Cayman_Islands,Cayman Islands,65854,1.19 %,774,274,240,,N.A.,N.A.,97%,0.00 %
Bermuda,Bermuda,62237,-0.36 %,-228,1246,50,,N.A.,N.A.,97%,0.00 %
Marshall_Islands,Marshall Islands,59259,0.68 %,399,329,180,,N.A.,N.A.,70%,0.00 %
Northern_Mariana_Islands,Northern Mariana Islands,57619,0.60 %,343,125,460,,N.A.,N.A.,88%,0.00 %
Greenland,Greenland,56787,0.17 %,98,0,410450,,N.A.,N.A.,87%,0.00 %
American_Samoa,American Samoa,55169,-0.22 %,-121,276,200,,N.A.,N.A.,88%,0.00 %
Saint_Kitts_&_Nevis,Saint Kitts & Nevis,53264,0.71 %,376,205,260,,N.A.,N.A.,33%,0.00 %
Faeroe_Islands,Faeroe Islands,48896,0.38 %,185,35,1396,,N.A.,N.A.,43%,0.00 %
Sint_Maarten,Sint Maarten,42960,1.15 %,488,1261,34,,N.A.,N.A.,96%,0.00 %
Monaco,Monaco,39290,0.71 %,278,26337,1,,N.A.,N.A.,N.A.,0.00 %
Turks_and_Caicos,Turks and Caicos,38806,1.38 %,526,41,950,,N.A.,N.A.,89%,0.00 %
Saint_Martin,Saint Martin,38778,1.75 %,664,730,53,,N.A.,N.A.,0%,0.00 %
Liechtenstein,Liechtenstein,38147,0.29 %,109,238,160,,N.A.,N.A.,15%,0.00 %
San_Marino,San Marino,33944,0.21 %,71,566,60,,N.A.,N.A.,97%,0.00 %
Gibraltar,Gibraltar,33689,-0.03 %,-10,3369,10,,N.A.,N.A.,N.A.,0.00 %
British_Virgin_Islands,British Virgin Islands,30266,0.67 %,201,202,150,,N.A.,N.A.,52%,0.00 %
Caribbean_Netherlands,Caribbean Netherlands,26265,0.94 %,244,80,328,,N.A.,N.A.,75%,0.00 %
Palau,Palau,18109,0.48 %,86,39,460,,N.A.,N.A.,N.A.,0.00 %
Cook_Islands,Cook Islands,17567,0.09 %,16,73,240,,N.A.,N.A.,75%,0.00 %
Anguilla,Anguilla,15026,0.90 %,134,167,90,,N.A.,N.A.,N.A.,0.00 %
Tuvalu,Tuvalu,11817,1.25 %,146,393,30,,N.A.,N.A.,62%,0.00 %
Wallis_&_Futuna,Wallis & Futuna,11203,-1.69 %,-193,80,140,,N.A.,N.A.,0%,0.00 %
Nauru,Nauru,10836,0.63 %,68,541,20,,N.A.,N.A.,N.A.,0.00 %
Saint_Barthelemy,Saint Barthelemy,9882,0.30 %,30,470,21,,N.A.,N.A.,0%,0.00 %
Saint_Helena,Saint Helena,6080,0.30 %,18,16,390,,N.A.,N.A.,27%,0.00 %
Saint_Pierre_&_Miquelon,Saint Pierre & Miquelon,5789,-0.48 %,-28,25,230,,N.A.,N.A.,100%,0.00 %
Montserrat,Montserrat,4993,0.06 %,3,50,100,,N.A.,N.A.,10%,0.00 %
Falkland_Islands,Falkland Islands,3497,3.05 %,103,0,12170,,N.A.,N.A.,66%,0.00 %
Niue,Niue,1628,0.68 %,11,6,260,,N.A.,N.A.,46%,0.00 %
Tokelau,Tokelau,1360,1.27 %,17,136,10,,N.A.,N.A.,0%,0.00 %
Holy_See,Holy See,801,0.25 %,2,2003,0,,N.A.,N.A.,N.A.,0.00 %